CRS ID,Surname,Preferred name,College,,Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,Group,Allocated to
stu19,firstname19,lastname19,M,,F-ib255-2,,,,,F,F-ib255-2
stu20,firstname20,lastname20,HO,,C-ajk61-1,C-pok21-2,C-gnw20-2,,,,
stu21,firstname21,lastname21,CHU,.,F-sb2330-1,C-pok21-1,C-pok21-5,D-ib340-3,C-pok21-2,F,F-sb2330-2
stu22,firstname22,lastname22,JE,.,C-aas41-1,C-pjgl2-4,C-pjgl2-2,B-aas41-3,,B,"B-tl322-3
*"
stu23,firstname23,lastname23,Q,,C-pok21-3,F-jl221-3,B-tdw13-1,C-pok21-4,,C,"C-pok21-3
*"
stu24,firstname24,lastname24,F,,B-tdw13-3,C-yysh2-1,C-pok21-4,F-gv103-1,C-pjgl2-2,B,"B-tdw13-3
*"
stu25,firstname25,lastname25,Q,,B-gmb49-1,F-sjg30-4,F-fm456-2,F-mjfg100-3,F-jl221-3,B,"B-gmb49-1
*"
stu26,firstname26,lastname26,HH,,D-fam20-7,C-hemh1-3,C-dc29-3,,,D,"D-fam20-7
*"
stu27,firstname27,lastname27,JE,,D-jma42-1,C-rd439-1,C-mpfs1-2,C-ajk61-2,C-am253-2,C,"C-mpfs1-2
*"
stu28,firstname28,lastname28,T,,F-wjb31-2,F-jl221-1,F-jl221-3,F-ml468-1,,F,F-wjb31-2
stu29,firstname29,lastname29,ED,,,,,,,,
stu30,firstname30,lastname30,PET,,B-acf26-2,B-lgo23-1,B-sjs1001-1,B-sjs1001-2,,B,"B-lgo23-1
*"
stu31,firstname31,lastname31,CTH,,F-pw117-2,F-jmh233-3,F-cer54-1,F-pw117-1,C-bl377-1,F,"F-pw117-2
*"
stu32,firstname32,lastname32,HH,,F-jmh233-2,C-gnw20-2,D-sas229-5,F-es607-2,D-sas229-1,F,F-jmh233-2
stu33,firstname33,lastname33,Q,,D-sas229-1,B-par10-3,B-gm603-3,B-par10-2,B-mjc87-2,D,"D-sas229-1
*"
stu34,firstname34,lastname34,Q,,F-aw665-b15469,,,,,F,"F-aw665-b15469
*"
stu35,firstname35,lastname35,T,,F-ml468-4,,,,,F,F-ml468-4
stu36,firstname36,lastname36,TH,,B-acf26-4,B-par10-3,B-gm603-3,B-tl322-1,B-ajf23-4,B,"B-acf26-4
*"
stu37,firstname37,lastname37,F,.,F-jl221-1,C-pok21-3,C-pok21-4,C-pok21-2,F-cer54-1,F,"F-jmh233-3
*"
stu38,firstname38,lastname38,CC,,C-hemh1-3,C-gjm31-3,A-aa406-2,A-amb233-3,,A,"A-amb233-3
*"
stu39,firstname39,lastname39,DOW,,F-aw665-2,F-cer54-1,F-cer54-2,F-jmh233-3,,F,"F-aw665-2
*"
stu40,firstname40,lastname40,F,,,,,,,,
stu41,firstname41,lastname41,CHU,,C-jhd25-1,F-es607-2,A-gtp10-1,C-gjm31-1,B-smg84-5,F,F-es607-2
stu42,firstname42,lastname42,JN,,A-gtp10-3,A-amb233-1,A-gtp10-1,F-es607-2,,A,"A-gtp10-3
*"
stu43,firstname43,lastname43,DOW,,D-mag92-1,F-mjfg100-3,C-pok21-3,F-jl221-1,F-gv103-2,D,"D-mag92-1
*"
stu44,firstname44,lastname44,CC,,F-ml468-2,F-sjg30-1,B-gmb49-2,F-jmh233-1,,F,"F-ml468-2
*"
stu45,firstname45,lastname45,R,,F-sma71-3,,"F-mt126-1
F-jl221-1
F-jmh233-2",,C-ajk61-1,F,"F-sma71-3
*"
stu46,firstname46,lastname46,T,,F-es607-1,F-ml468-1,F-es607-2,F-smg84-1,,F,F-es607-1
stu47,firstname47,lastname47,JE,,C-jhd25-1,C-mpfs1-5,D-aa22-2,C-cd229-2,C-aas41-2,C,"C-jhd25-1
*"
stu48,firstname48,lastname48,T,,A-gp10006-2,,,,,A,A-gp10006-2
stu49,firstname49,lastname49,CTH,,D-aa22-4,D-gv278-1,D-aa22-5,D-jml1010-4,D-jml1010-1,D,"D-aa22-4
*"
stu50,firstname50,lastname50,EM,,A-msd38-1,,,,,A,"A-msd38-1
*"
stu51,firstname51,lastname51,HO,,A-jb753-1,A-mpj1001-2,F-icl20-2,A-nra27-1,A-hb209-2,A,A-jb753-1
stu52,firstname52,lastname52,R,,F-mt126-2,F-kmk1001-2,F-mjfg100-3,F-mt126-3,F-gv103-1,F,F-mt126-2
stu53,firstname53,lastname53,N,,A-pad3-1,A-nra27-1,A-mv234-1,,,A,"A-pad3-1
*"
stu54,firstname54,lastname54,SE,,F-hg344-b15497,,,,,F,F-hg344-b15497
stu55,firstname55,lastname55,T,,C-gjm31-2,C-mpfs1-3,C-ts573-1,,,C,"C-gjm31-2
*"
stu56,firstname56,lastname56,EM,,C-hs10000-1,C-dus20-1,C-dc29-1,D-ag806-1,,C,"C-hs10000-1
*"
stu57,firstname57,lastname57,CL,,C-hemh1-3,C-djc13-3,C-jpj1001-2,,,C,"C-hemh1-3
*"
stu58,firstname58,lastname58,G,,C-yysh2-2,C-am253-2,C-mpfs1-3,C-yysh2-3,C-cd229-2,C,"C-yysh2-2
*"
stu59,firstname59,lastname59,CTH,,A-nra27-b15498,,,,,A,A-nra27-b15498
stu60,firstname60,lastname60,HO,,B-gm603-1,F-jl221-1,C-pok21-3,C-pok21-5,C-pok21-4,B,"B-gm603-1
*"
stu61,firstname61,lastname61,CTH,.,D-ib340-2,F-jl221-3,F-mt126-1,F-jjc75-1,F-op205-1,D,"D-ib340-4
*"
stu62,firstname62,lastname62,MUR,,D-ss683-2,B-rvp11-1,,,,D,"D-ss683-2
*"
